,ACCESSION NUMBER,CONFORMED SUBMISSION TYPE,CONFORMED PERIOD OF REPORT,FILED AS OF DATE,DATE AS OF CHANGE,COMPANY CONFORMED NAME,CENTRAL INDEX KEY,FISCAL YEAR END
1681,0001466258-15-000045,10-K,20141231,20150213,20150213,Ingersoll-Rand plc,0001466258,1231
1682,0001437749-15-003654,10-K,20141231,20150227,20150227,GENERAC HOLDINGS INC.,0001474735,1231
1683,0001193125-15-045845,10-K,20141231,20150212,20150212,Quintiles Transnational Holdings Inc.,0001478242,1231
1684,0000950123-15-003039,10-K,20141231,20150217,20150217,LyondellBasell Industries N.V.,0001489393,1231
1685,0001506307-15-000014,10-K,20141231,20150223,20150223,"KINDER MORGAN, INC.",0001506307,1231
1686,0001510295-15-000007,10-K,20141231,20150227,20150227,Marathon Petroleum Corp,0001510295,1231
1687,0001555280-15-000057,10-K,20141231,20150227,20150227,Zoetis Inc.,0001555280,1231
1688,0001579241-15-000005,10-K,20141231,20150227,20150227,Allegion plc,0001579241,1231
1689,0001585689-15-000032,10-K,20141231,20150218,20150218,Hilton Worldwide Holdings Inc.,0001585689,1231
1690,0001193125-15-065707,10-K,20141231,20150226,20150226,"Paycom Software, Inc.",0001590955,1231
1691,0001596532-15-000004,10-K,20141231,20150312,20150311,"Arista Networks, Inc.",0001596532,1231
1692,0001601712-15-000007,10-K,20141231,20150223,20150223,Synchrony Financial,0001601712,1231
1693,0001613103-15-000028,10-K,20150424,20150623,20150623,Medtronic plc,0001613103,0424
1694,0001047469-15-009279,10-K,20151031,20151217,20151217,Hewlett Packard Enterprise Co,0001645590,1031
1695,0001564590-16-013433,10-K,20151231,20160226,20160225,HESS CORP,0000004447,1231
1696,0000006951-16-000068,10-K,20161030,20161215,20161215,APPLIED MATERIALS INC /DE,0000006951,1030
1697,0000007084-16-000046,10-K,20151231,20160219,20160219,ARCHER DANIELS MIDLAND CO,0000007084,1231
1698,0001193125-16-479471,10-K,20151231,20160226,20160226,BAXTER INTERNATIONAL INC,0000010456,1231
1699,0000016918-16-000075,10-K,20160229,20160425,20160425,"CONSTELLATION BRANDS, INC.",0000016918,0228
1700,0000020286-16-000055,10-K,20151231,20160226,20160226,CINCINNATI FINANCIAL CORP,0000020286,1231
1701,0001558370-16-003581,10-K,20151231,20160226,20160226,ECOLAB INC.,0000031462,1231
1702,0000031791-16-000014,10-K,20160103,20160301,20160301,PERKINELMER INC,0000031791,0102
1703,0000033213-16-000018,10-K,20151231,20160211,20160211,EQT Corp,0000033213,1231
1704,0001193125-16-469957,10-K,20151231,20160219,20160219,M&T BANK CORP,0000036270,1231
1705,0000038777-16-000609,10-K,20160930,20161114,20161114,FRANKLIN RESOURCES INC,0000038777,0930
1706,0001193125-16-638404,10-K,20160529,20160630,20160630,GENERAL MILLS INC,0000040704,0529
1707,0001193125-16-475520,10-K,20151227,20160224,20160224,HASBRO INC,0000046080,1227
1708,0000047111-16-000095,10-K,20151231,20160226,20160226,HERSHEY CO,0000047111,1231
1709,0000047217-16-000093,10-K,20161031,20161215,20161215,HP INC,0000047217,1031
1710,0001564590-16-029571,10-K,20160930,20161122,20161122,JACOBS ENGINEERING GROUP INC /DE/,0000052988,0930
1711,0000059478-16-000321,10-K,20151231,20160219,20160219,LILLY ELI & CO,0000059478,1231
1712,0001193125-16-470141,10-K,20151231,20160219,20160219,LOEWS CORP,0000060086,1231
1713,0001558370-16-003162,10-K,20151231,20160211,20160211,3M CO,0000066740,1231
1714,0000068505-16-000017,10-K,20151231,20160223,20160222,"Motorola Solutions, Inc.",0000068505,1231
1715,0000072903-16-000123,10-K,20151231,20160219,20160219,XCEL ENERGY INC,0000072903,1231
1716,0001193125-16-481119,10-K,20151231,20160226,20160226,NUCOR CORP,0000073309,1231
1717,0000075677-16-000030,10-K,20151231,20160226,20160226,PACKAGING CORP OF AMERICA,0000075677,1231
1718,0000077476-16-000066,10-K,20151226,20160211,20160211,PEPSICO INC,0000077476,1226
1719,0001564590-16-012009,10-K,20151231,20160127,20160127,SCHLUMBERGER LTD /NV/,0000087347,1231
1720,0001193125-16-459788,10-K,20160102,20160211,20160211,SNAP-ON Inc,0000091440,1229
1721,0000092380-16-000175,10-K,20151231,20160203,20160202,SOUTHWEST AIRLINES CO,0000092380,1231
1722,0000096021-16-000275,10-K,20160702,20160830,20160829,SYSCO CORP,0000096021,0628
1723,0000097745-16-000043,10-K,20151231,20160225,20160225,THERMO FISHER SCIENTIFIC INC.,0000097745,1231
1724,0000101778-16-000047,10-K,20151231,20160225,20160225,MARATHON OIL CORP,0000101778,1231
1725,0001193125-16-489832,10-K,20160102,20160302,20160302,V F CORP,0000103379,1231
1726,0000106040-16-000033,10-K,20160701,20160829,20160826,WESTERN DIGITAL CORP,0000106040,0628
1727,0000107263-16-000021,10-K,20151231,20160226,20160226,WILLIAMS COMPANIES INC,0000107263,1231
1728,0000202058-16-000022,10-K,20160701,20160829,20160829,HARRIS CORP /DE/,0000202058,0630
1729,0001628280-16-011322,10-K,20151231,20160217,20160217,HALF ROBERT INTERNATIONAL INC /DE/,0000315213,1231
1730,0001628280-16-011485,10-K,20151231,20160222,20160222,Aon plc,0000315293,1231
1731,0000316709-16-000067,10-K,20151231,20160224,20160224,SCHWAB CHARLES CORP,0000316709,1231
1732,0000318154-16-000031,10-K,20151231,20160216,20160216,AMGEN INC,0000318154,1231
1733,0001628280-16-020309,10-K,20160924,20161026,20161026,APPLE INC,0000320193,0924
1734,0001193125-16-457703,10-K,20151231,20160210,20160210,GALLAGHER ARTHUR J & CO,0000354190,1231
1735,0000354950-16-000060,10-K,20160131,20160324,20160324,HOME DEPOT INC,0000354950,0131
1736,0000707549-16-000050,10-K,20160626,20160817,20160816,LAM RESEARCH CORP,0000707549,0630
1737,0000711404-16-000042,10-K,20161031,20161222,20161222,COOPER COMPANIES INC,0000711404,1031
1738,0000712515-16-000111,10-K,20160331,20160527,20160526,ELECTRONIC ARTS INC.,0000712515,0331
1739,0001193125-16-480850,10-K,20151231,20160226,20160226,DOMINION RESOURCES INC /VA/,0000715957,1231
1740,0000720005-16-000169,10-K,20160930,20161122,20161122,RAYMOND JAMES FINANCIAL INC,0000720005,0930
1741,0000723531-16-000046,10-K,20160531,20160722,20160722,PAYCHEX INC,0000723531,0531
1742,0000740260-16-000201,10-K,20151231,20160212,20160212,VENTAS INC,0000740260,1231
1743,0000753308-16-000337,10-K,20151231,20160222,20160219,NEXTERA ENERGY INC,0000753308,1231
1744,0000764478-16-000064,10-K,20160130,20160323,20160323,BEST BUY CO INC,0000764478,0201
1745,0000769397-16-000067,10-K,20160131,20160323,20160323,AUTODESK INC,0000769397,0131
1746,0000788784-16-000014,10-K,20151231,20160226,20160225,PUBLIC SERVICE ENTERPRISE GROUP INC,0000788784,1231
1747,0001193125-16-662209,10-K,20160630,20160728,20160728,MICROSOFT CORP,0000789019,0630
1748,0000797468-16-000017,10-K,20151231,20160226,20160226,OCCIDENTAL PETROLEUM CORP /DE/,0000797468,1231
1749,0001628280-16-011435,10-K,20151231,20160219,20160219,FISERV INC,0000798354,1231
1750,0001234452-16-000552,10-K,20160925,20161102,20161102,QUALCOMM INC/DE,0000804328,0925
1751,0000813672-16-000040,10-K,20160102,20160218,20160218,CADENCE DESIGN SYSTEMS INC,0000813672,1228
1752,0000814547-16-000035,10-K,20160930,20161110,20161110,FAIR ISAAC CORP,0000814547,0930
1753,0000815556-16-000087,10-K,20151231,20160205,20160205,FASTENAL CO,0000815556,1231
1754,0000820027-16-000168,10-K,20151231,20160225,20160225,AMERIPRISE FINANCIAL INC,0000820027,1231
1755,0001104659-16-098503,10-K,20151231,20160219,20160219,AMPHENOL CORP /DE/,0000820313,1231
1756,0001193125-16-467957,10-K,20151231,20160218,20160218,WASTE MANAGEMENT INC,0000823768,1231
1757,0000827054-16-000344,10-K,20160331,20160524,20160524,MICROCHIP TECHNOLOGY INC,0000827054,0331
1758,0000851968-16-000120,10-K,20151231,20160229,20160229,MOHAWK INDUSTRIES INC,0000851968,1231
1759,0000858470-16-000036,10-K,20151231,20160222,20160222,CABOT OIL & GAS CORP,0000858470,1231
1760,0000859737-16-000071,10-K,20160924,20161117,20161117,HOLOGIC INC,0000859737,0924
1761,0001193125-16-482165,10-K,20151231,20160226,20160226,"HCA Holdings, Inc.",0000860730,1231
1762,0000864749-16-000092,10-K,20160101,20160224,20160224,TRIMBLE NAVIGATION LTD /CA/,0000864749,0101
1763,0001104659-16-100960,10-K,20151231,20160229,20160229,Monster Beverage Corp,0000865752,1231
1764,0001193125-16-745160,10-K,20160827,20161024,20161024,AUTOZONE INC,0000866787,1231
1765,0000874761-16-000077,10-K,20151231,20160224,20160223,AES CORP,0000874761,1231
1766,0000874766-16-000046,10-K,20151231,20160226,20160226,HARTFORD FINANCIAL SERVICES GROUP INC/DE,0000874766,1231
1767,0000875045-16-000042,10-K,20151231,20160203,20160203,BIOGEN INC.,0000875045,1231
1768,0001628280-16-011978,10-K,20151231,20160229,20160229,ZEBRA TECHNOLOGIES CORP,0000877212,1231
1769,0000877212-16-000023,10-K/A,20151231,20161114,20161114,ZEBRA TECHNOLOGIES CORP,0000877212,1231
1770,0001558370-16-003196,10-K,20151231,20160212,20160212,INCYTE CORP,0000879169,1231
1771,0000882184-16-000203,10-K,20160930,20161118,20161118,HORTON D R INC /DE/,0000882184,0930
1772,0000883241-16-000027,10-K,20161031,20161212,20161209,SYNOPSYS INC,0000883241,1031
1773,0001193125-16-473553,10-K,20151231,20160223,20160223,MORGAN STANLEY,0000895421,1231
1774,0000898173-16-000276,10-K,20151231,20160226,20160226,O REILLY AUTOMOTIVE INC,0000898173,1231
1775,0001193125-16-742815,10-K,20160831,20161020,20161020,JABIL CIRCUIT INC,0000898293,0831
1776,0000900075-16-000081,10-K,20160731,20160928,20160928,COPART INC,0000900075,0731
1777,0000906107-16-000029,10-K,20151231,20160225,20160225,EQUITY RESIDENTIAL,0000906107,1231
1778,0000906345-16-000044,10-K,20151231,20160219,20160219,CAMDEN PROPERTY TRUST,0000906345,1231
1779,0000909832-16-000032,10-K,20160828,20161012,20161011,COSTCO WHOLESALE CORP /NEW,0000909832,0902
1780,0000910606-16-000047,10-K,20151231,20160218,20160218,REGENCY CENTERS CORP,0000910606,1231
1781,0000914208-16-000846,10-K,20151231,20160219,20160219,Invesco Ltd.,0000914208,1231
1782,0000915913-16-000041,10-K,20151231,20160229,20160229,ALBEMARLE CORP,0000915913,1231
1783,0001193125-16-473754,10-K,20151231,20160223,20160223,MARTIN MARIETTA MATERIALS INC,0000916076,1231
1784,0000916365-16-000140,10-K,20151226,20160223,20160222,TRACTOR SUPPLY CO /DE/,0000916365,1227
1785,0000920148-16-000162,10-K,20151231,20160229,20160229,LABORATORY CORP OF AMERICA HOLDINGS,0000920148,1231
1786,0000920148-16-000165,10-K/A,20151231,20160301,20160301,LABORATORY CORP OF AMERICA HOLDINGS,0000920148,1231
1787,0000920522-16-000097,10-K,20151231,20160226,20160226,ESSEX PROPERTY TRUST INC,0000920522,1231
1788,0001564590-16-013587,10-K,20151231,20160226,20160226,DAVITA HEALTHCARE PARTNERS INC.,0000927066,1231
1789,0000935703-16-000127,10-K,20160130,20160328,20160328,DOLLAR TREE INC,0000935703,0131
1790,0000936340-16-000243,10-K,20151231,20160210,20160210,DTE ENERGY CO,0000936340,1231
1791,0001628280-16-011421,10-K,20151231,20160219,20160219,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,0000943452,1231
1792,0000945841-16-000190,10-K,20151231,20160226,20160226,POOL CORP,0000945841,1231
1793,0001047469-16-013278,10-K,20160331,20160519,20160518,TAKE TWO INTERACTIVE SOFTWARE INC,0000946581,0331
1794,0001193125-16-480594,10-K,20151231,20160226,20160226,WATERS CORP /DE/,0001000697,1231
1795,0001104659-16-141179,10-K,20160630,20160824,20160824,ESTEE LAUDER COMPANIES INC,0001001250,0630
1796,0001004980-16-000065,10-K,20151231,20160218,20160218,PG&E Corp,0001004980,1231
1797,0001013871-16-000022,10-K,20151231,20160229,20160229,"NRG ENERGY, INC.",0001013871,1231
1798,0001018724-16-000172,10-K,20151231,20160129,20160128,AMAZON COM INC,0001018724,1231
1799,0001020569-16-000013,10-K,20151231,20160226,20160226,IRON MOUNTAIN INC,0001020569,1231
1800,0001031296-16-000071,10-K,20151231,20160216,20160216,FIRSTENERGY CORP,0001031296,1231
1801,0001037038-16-000019,10-K,20160402,20160519,20160519,RALPH LAUREN CORP,0001037038,0331
1802,0001656423-16-000013,10-K,20151231,20160229,20160229,BOSTON PROPERTIES INC,0001037540,1231
1803,0001037646-16-000043,10-K,20151231,20160204,20160204,METTLER TOLEDO INTERNATIONAL INC/,0001037646,1231
1804,0001193125-16-478197,10-K,20151231,20160225,20160225,AMETEK INC/,0001037868,1231
1805,0001038357-16-000101,10-K,20151231,20160219,20160219,PIONEER NATURAL RESOURCES CO,0001038357,1231
1806,0001039684-16-000113,10-K,20151231,20160223,20160223,ONEOK INC /NEW/,0001039684,1231
1807,0001047862-16-000225,10-K,20151231,20160218,20160218,CONSOLIDATED EDISON INC,0001047862,1231
1808,0001628280-16-011346,10-K,20151231,20160218,20160218,MARRIOTT INTERNATIONAL INC /MD/,0001048286,1231
1809,0001048695-16-000049,10-K,20160930,20161104,20161104,F5 NETWORKS INC,0001048695,0930
1810,0001051470-16-000158,10-K,20151231,20160222,20160222,CROWN CASTLE INTERNATIONAL CORP,0001051470,1231
1811,0001057352-16-000103,10-K,20151231,20160226,20160225,COSTAR GROUP INC,0001057352,1231
1812,0001058290-16-000049,10-K,20151231,20160225,20160225,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0001058290,1231
1813,0001047469-16-010465,10-K,20151231,20160226,20160226,SIMON PROPERTY GROUP INC /DE/,0001063761,1231
1814,0001065280-16-000047,10-K,20151231,20160128,20160128,NETFLIX INC,0001065280,1231
1815,0001067701-16-000039,10-K,20151231,20160127,20160127,UNITED RENTALS INC /DE,0001067701,1231
1816,0001069183-16-000148,10-K,20151231,20160307,20160304,TASER INTERNATIONAL INC,0001069183,1231
1817,0001564590-16-012990,10-K,20151231,20160222,20160222,"HOST HOTELS & RESORTS, INC.",0001070750,1231
1818,0001075531-16-000084,10-K,20151231,20160217,20160217,Priceline Group Inc.,0001075531,1231
1819,0001086222-16-000245,10-K,20151231,20160229,20160229,AKAMAI TECHNOLOGIES INC,0001086222,1231
1820,0001193125-16-466687,10-K,20151231,20160217,20160217,DEVON ENERGY CORP/DE,0001090012,1231
1821,0001090727-16-000053,10-K,20151231,20160225,20160224,UNITED PARCEL SERVICE INC,0001090727,1231
1822,0001090872-16-000082,10-K,20161031,20161220,20161220,AGILENT TECHNOLOGIES INC,0001090872,1031
1823,0001091667-16-000396,10-K,20151231,20160210,20160209,"CHARTER COMMUNICATIONS, INC. /MO/",0001091667,1231
1824,0001094285-16-000177,10-K,20160103,20160301,20160229,TELEDYNE TECHNOLOGIES INC,0001094285,1228
1825,0001193125-16-475009,10-K,20151231,20160224,20160224,ON SEMICONDUCTOR CORP,0001097864,1231
1826,0000937834-16-000077,10-K,20151231,20160225,20160224,METLIFE INC,0001099219,1231
1827,0001099800-16-000044,10-K,20151231,20160219,20160219,Edwards Lifesciences Corp,0001099800,1231
1828,0001193125-16-469394,10-K,20151231,20160219,20160219,"Mondelez International, Inc.",0001103982,1231
1829,0001113169-16-000033,10-K,20151231,20160205,20160205,PRICE T ROWE GROUP INC,0001113169,1231
1830,0001120193-16-000020,10-K,20151231,20160226,20160226,"NASDAQ, INC.",0001120193,1231
1831,0001615774-16-004243,10-K,20151226,20160217,20160217,GARMIN LTD,0001121788,1230
1832,0001047469-16-010094,10-K,20151231,20160210,20160210,PRINCIPAL FINANCIAL GROUP INC,0001126328,1231
1833,0001130310-16-000031,10-K,20151231,20160226,20160226,CENTERPOINT ENERGY INC,0001130310,1231
1834,0001193125-16-485039,10-K,20151231,20160229,20160229,"ZIMMER BIOMET HOLDINGS, INC.",0001136869,1231
1835,0001136893-16-000061,10-K,20151231,20160226,20160226,"Fidelity National Information Services, Inc.",0001136893,1231
1836,0001193125-16-484680,10-K,20151231,20160229,20160229,"CBRE GROUP, INC.",0001138118,1231
1837,0001140536-16-000035,10-K,20151231,20160229,20160229,WILLIS TOWERS WATSON PLC,0001140536,1231
1838,0001145197-16-000083,10-K,20151231,20160229,20160229,INSULET CORP,0001145197,1231
1839,0001170010-16-000117,10-K,20160229,20160422,20160422,CARMAX INC,0001170010,0229
1840,0001174922-16-000144,10-K,20151231,20160229,20160229,WYNN RESORTS LTD,0001174922,1231
1841,0001179929-16-000231,10-K,20151231,20160226,20160226,MOLINA HEALTHCARE INC,0001179929,1231
1842,0001628280-16-011239,10-K,20151231,20160216,20160216,ASSURANT INC,0001267238,1231
1843,0001274494-16-000067,10-K,20151231,20160224,20160224,"FIRST SOLAR, INC.",0001274494,1231
1844,0001281761-16-000108,10-K,20151231,20160216,20160216,REGIONS FINANCIAL CORP,0001281761,1231
1845,0001283699-16-000073,10-K,20151231,20160217,20160217,"T-Mobile US, Inc.",0001283699,1231
1846,0001193125-16-476935,10-K,20160103,20160225,20160225,DOMINOS PIZZA INC,0001286681,Not found
1847,0001297996-16-000260,10-K/A,20151231,20160928,20160928,"Digital Realty Trust, Inc.",0001297996,1231
1848,0001306830-16-000212,10-K,20151231,20160205,20160205,Celanese Corp,0001306830,1231
1849,0001564590-16-014562,10-K,20151231,20160311,20160311,"Builders FirstSource, Inc.",0001316835,1231
1850,0001193125-16-457822,10-K,20151231,20160211,20160210,"Expedia, Inc.",0001324424,1231
1851,0001326801-16-000043,10-K,20151231,20160128,20160128,Facebook Inc,0001326801,1231
1852,0001336920-16-000076,10-KT,20160101,20160226,20160226,"Leidos Holdings, Inc.",0001336920,0130
1853,0001352010-16-000030,10-K,20151231,20160223,20160222,"EPAM Systems, Inc.",0001352010,1231
1854,0001370637-16-000032,10-K,20151231,20160301,20160301,ETSY INC,0001370637,1231
1855,0001374310-16-000038,10-K,20151231,20160219,20160218,"CBOE Holdings, Inc.",0001374310,1231
1856,0001140361-16-055579,10-K,20151231,20160229,20160229,Targa Resources Corp.,0001389170,1231
1857,0001393612-16-000059,10-K,20151231,20160224,20160224,Discover Financial Services,0001393612,1231
1858,0001402057-16-000057,10-K,20151231,20160225,20160224,CDW Corp,0001402057,1231
1859,0001193125-16-523101,10-K,20160130,20160330,20160330,"Ulta Salon, Cosmetics & Fragrance, Inc.",0001403568,0203
1860,0001193125-16-482334,10-K,20151231,20160226,20160226,MSCI Inc.,0001408198,1231
1861,0001413329-16-000076,10-K,20151231,20160217,20160217,Philip Morris International Inc.,0001413329,1231
1862,0001437107-16-000059,10-K,20151231,20160218,20160218,"Discovery Communications, Inc.",0001437107,1231
1863,0001442145-16-000057,10-K,20151231,20160224,20160223,"Verisk Analytics, Inc.",0001442145,1231
1864,0001466258-16-000319,10-K,20151231,20160212,20160212,Ingersoll-Rand plc,0001466258,1231
1865,0001437749-16-026187,10-K,20151231,20160226,20160226,GENERAC HOLDINGS INC.,0001474735,1231
1866,0001564590-16-012629,10-K,20151231,20160211,20160211,Quintiles Transnational Holdings Inc.,0001478242,1231
1867,0001193125-16-465311,10-K,20151231,20160216,20160216,LyondellBasell Industries N.V.,0001489393,1231
1868,0001506307-16-000072,10-K,20151231,20160216,20160216,"KINDER MORGAN, INC.",0001506307,1231
1869,0001510295-16-000078,10-K,20151231,20160226,20160226,Marathon Petroleum Corp,0001510295,1231
1870,0001047469-16-010239,10-K,20151231,20160219,20160219,AbbVie Inc.,0001551152,1231
1871,0001555280-16-000344,10-K,20151231,20160224,20160224,Zoetis Inc.,0001555280,1231
1872,0001571949-16-000020,10-K,20151231,20160204,20160204,"Intercontinental Exchange, Inc.",0001571949,1231
1873,0001579241-16-000056,10-K,20151231,20160226,20160226,Allegion plc,0001579241,1231
1874,0001585689-16-000161,10-K,20151231,20160226,20160226,Hilton Worldwide Holdings Inc.,0001585689,1231
1875,0001558370-16-004151,10-K,20151231,20160315,20160315,"Eldorado Resorts, Inc.",0001590895,1231
1876,0001564590-16-013001,10-K,20151231,20160222,20160222,"Paycom Software, Inc.",0001590955,1231
1877,0001596532-16-000244,10-K,20151231,20160225,20160225,"Arista Networks, Inc.",0001596532,1231
1878,0001601046-16-000077,10-K,20161031,20161219,20161219,"Keysight Technologies, Inc.",0001601046,1031
1879,0001601712-16-000069,10-K,20151231,20160225,20160225,Synchrony Financial,0001601712,1231
1880,0001613103-16-000093,10-K,20160429,20160628,20160628,Medtronic plc,0001613103,0424
1881,0001140361-16-083198,10-K,20160831,20161020,20161020,"Walgreens Boots Alliance, Inc.",0001618921,0831
1882,0001637459-16-000100,10-K,20160103,20160303,20160303,Kraft Heinz Co,0001637459,0103
1883,0001628280-16-022051,10-K,20161031,20161215,20161215,Hewlett Packard Enterprise Co,0001645590,1031
1884,0000006951-17-000038,10-K,20171029,20171215,20171215,APPLIED MATERIALS INC /DE,0000006951,1030
1885,0000007084-17-000008,10-K,20161231,20170217,20170217,ARCHER DANIELS MIDLAND CO,0000007084,1231
1886,0000010795-17-000021,10-K,20170930,20171122,20171122,BECTON DICKINSON & CO,0000010795,0930
1887,0000016918-17-000029,10-K,20170228,20170427,20170427,"CONSTELLATION BRANDS, INC.",0000016918,0228
1888,0000020286-17-000013,10-K,20161231,20170224,20170224,CINCINNATI FINANCIAL CORP,0000020286,1231
1889,0000027419-17-000008,10-K,20170128,20170308,20170308,TARGET CORP,0000027419,0131
1890,0001558370-17-000944,10-K,20161231,20170224,20170224,ECOLAB INC.,0000031462,1231
1891,0000033213-17-000003,10-K,20161231,20170209,20170209,EQT Corp,0000033213,1231
1892,0001564590-17-002016,10-K,20161231,20170222,20170222,M&T BANK CORP,0000036270,1231
1893,0000038777-17-000268,10-K,20170930,20171113,20171113,FRANKLIN RESOURCES INC,0000038777,0930
1894,0001193125-17-217396,10-K,20170528,20170629,20170629,GENERAL MILLS INC,0000040704,0529
1895,0001193125-17-052143,10-K,20161225,20170222,20170222,HASBRO INC,0000046080,1227
1896,0000047217-17-000043,10-K,20171031,20171214,20171214,HP INC,0000047217,1031
1897,0000047217-17-000045,10-K/A,20171031,20171215,20171214,HP INC,0000047217,1031
1898,0001564590-17-024192,10-K,20170929,20171121,20171121,JACOBS ENGINEERING GROUP INC /DE/,0000052988,0930
1899,0000059478-17-000098,10-K,20161231,20170221,20170221,LILLY ELI & CO,0000059478,1231
1900,0001193125-17-046521,10-K,20161231,20170216,20170216,LOEWS CORP,0000060086,1231
1901,0001558370-17-000479,10-K,20161231,20170209,20170209,3M CO,0000066740,1231
1902,0000068505-17-000002,10-K,20161231,20170221,20170221,"Motorola Solutions, Inc.",0000068505,1231
1903,0001564590-17-024983,10-K,20171031,20171215,20171215,NORDSON CORP,0000072331,1031
1904,0000072903-17-000008,10-K,20161231,20170224,20170224,XCEL ENERGY INC,0000072903,1231
1905,0001193125-17-062124,10-K,20161231,20170228,20170228,NUCOR CORP,0000073309,1231
1906,0000075677-17-000004,10-K,20170228,20170228,20170228,PACKAGING CORP OF AMERICA,0000075677,1231
1907,0001193125-17-036139,10-K,20161231,20170209,20170209,SNAP-ON Inc,0000091440,1229
1908,0000092380-17-000029,10-K,20161231,20170207,20170207,SOUTHWEST AIRLINES CO,0000092380,1231
1909,0000097745-17-000007,10-K,20161231,20170228,20170228,THERMO FISHER SCIENTIFIC INC.,0000097745,1231
1910,0000101778-17-000046,10-K,20161231,20170224,20170224,MARATHON OIL CORP,0000101778,1231
1911,0001628280-17-002027,10-K,20161231,20170301,20170301,V F CORP,0000103379,1231
1912,0000106040-17-000027,10-K,20170630,20170829,20170828,WESTERN DIGITAL CORP,0000106040,0628
1913,0000202058-17-000037,10-K,20170630,20170829,20170829,HARRIS CORP /DE/,0000202058,0630
1914,0001104659-17-010809,10-K,20161231,20170222,20170222,TEXTRON INC,0000217346,0102
1915,0001628280-17-001192,10-K,20161231,20170213,20170213,HALF ROBERT INTERNATIONAL INC /DE/,0000315213,1231
1916,0001628280-17-001652,10-K,20161231,20170223,20170223,Aon plc,0000315293,1231
1917,0000318154-17-000004,10-K,20161231,20170214,20170214,AMGEN INC,0000318154,1231
1918,0000320193-17-000070,10-K,20170930,20171103,20171103,APPLE INC,0000320193,0930
1919,0001193125-17-038619,10-K,20161231,20170213,20170210,GALLAGHER ARTHUR J & CO,0000354190,1231
1920,0000354950-17-000005,10-K,20170129,20170323,20170323,HOME DEPOT INC,0000354950,0131
1921,0000707549-17-000100,10-K,20170625,20170815,20170815,LAM RESEARCH CORP,0000707549,0625
1922,0000711404-17-000044,10-K,20171031,20171222,20171222,COOPER COMPANIES INC,0000711404,1031
1923,0000712515-17-000035,10-K,20170331,20170524,20170524,ELECTRONIC ARTS INC.,0000712515,0331
1924,0001193125-17-060413,10-K,20161231,20170228,20170228,DOMINION RESOURCES INC /VA/,0000715957,1231
1925,0000720005-17-000089,10-K,20170930,20171122,20171121,RAYMOND JAMES FINANCIAL INC,0000720005,0930
1926,0000723531-17-000023,10-K,20170531,20170721,20170721,PAYCHEX INC,0000723531,0531
1927,0000740260-17-000056,10-K,20161231,20170214,20170213,VENTAS INC,0000740260,1231
1928,0000764478-17-000008,10-K,20170128,20170324,20170324,BEST BUY CO INC,0000764478,0201
1929,0000769397-17-000014,10-K,20170131,20170321,20170321,AUTODESK INC,0000769397,0131
1930,0000788784-17-000003,10-K,20161231,20170227,20170227,PUBLIC SERVICE ENTERPRISE GROUP INC,0000788784,1231
1931,0001564590-17-014900,10-K,20170630,20170802,20170802,MICROSOFT CORP,0000789019,0630
1932,0001234452-17-000190,10-K,20170924,20171101,20171101,QUALCOMM INC/DE,0000804328,0925
1933,0000813672-17-000006,10-K,20161231,20170210,20170210,CADENCE DESIGN SYSTEMS INC,0000813672,1228
1934,0000814547-17-000014,10-K,20170930,20171109,20171109,FAIR ISAAC CORP,0000814547,0930
1935,0000815556-17-000009,10-K,20161231,20170206,20170206,FASTENAL CO,0000815556,1231
1936,0000820027-17-000007,10-K,20161231,20170223,20170223,AMERIPRISE FINANCIAL INC,0000820027,1231
1937,0000827054-17-000098,10-K,20170331,20170530,20170530,MICROCHIP TECHNOLOGY INC,0000827054,0331
1938,0000832101-17-000016,10-K,20161231,20170223,20170223,IDEX CORP /DE/,0000832101,1231
1939,0000849399-17-000009,10-K,20170331,20170519,20170519,SYMANTEC CORP,0000849399,0402
1940,0000851968-17-000020,10-K,20161231,20170227,20170227,MOHAWK INDUSTRIES INC,0000851968,1231
1941,0000858470-17-000007,10-K,20161231,20170227,20170227,CABOT OIL & GAS CORP,0000858470,1231
1942,0000859737-17-000023,10-K,20170930,20171121,20171121,HOLOGIC INC,0000859737,0930
1943,0001193125-17-052253,10-K,20161231,20170222,20170222,"HCA Holdings, Inc.",0000860730,1231
1944,0000864749-17-000007,10-K,20161230,20170224,20170224,TRIMBLE INC.,0000864749,0101
1945,0001104659-17-013048,10-K,20161231,20170301,20170301,Monster Beverage Corp,0000865752,1231
1946,0001193125-17-319357,10-K,20170826,20171025,20171025,AUTOZONE INC,0000866787,1231
1947,0000874761-17-000003,10-K,20161231,20170227,20170224,AES CORP,0000874761,1231
1948,0000875045-17-000009,10-K,20161231,20170202,20170202,BIOGEN INC.,0000875045,1231
1949,0000877212-17-000009,10-K,20161231,20170227,20170227,ZEBRA TECHNOLOGIES CORP,0000877212,1231
1950,0001558370-17-000594,10-K,20161231,20170214,20170214,INCYTE CORP,0000879169,1231
1951,0000882184-17-000103,10-K,20170930,20171115,20171115,HORTON D R INC /DE/,0000882184,0930
1952,0000883241-17-000014,10-K,20171031,20171214,20171213,SYNOPSYS INC,0000883241,1031
